,City,Country,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
412,Jacareacanga,BR,-6.2243,-57.7609,75,51,88.99,2.17
413,Camacha,PT,33.0833,-16.3334,50,66,70.97,15.48
414,Isangel,VU,-19.55,169.2667,100,77,69.76,14.43
415,Colares,PT,38.7992,-9.4463,44,76,65.86,2.75
416,Luau,CD,-10.7026,22.2275,36,85,71.24,5.66
417,Tripoli,GR,37.5102,22.3724,0,41,61.61,0.78
418,Alice Springs,AU,-23.6984,133.8813,96,44,80.11,6.62
419,Anamur,TR,36.0751,32.8369,91,58,76.28,8.72
420,Parian Dakula,PH,5.5567,120.7719,73,70,84.06,7.76
421,Bara,NG,10.4089,10.604,45,74,77.77,4.7
422,Teguise,ES,29.0605,-13.564,42,69,69.51,12.1
423,Cayenne,GF,4.9371,-52.3259,38,61,87.91,7.99
424,Galle,GN,10.0814,-12.8306,76,90,76.73,2.01
425,Port-Cartier,CA,50.0257,-66.8819,20,69,50.0,9.86
426,San Pedro,AR,-33.6759,-59.6629,9,27,82.18,4.07
427,Pomabamba,PE,-8.8205,-77.4604,98,58,52.29,8.9
428,Kjollefjord,NO,70.9457,27.3465,100,72,29.8,9.46
429,Slave Lake,CA,55.2811,-114.7718,100,75,44.78,15.86
430,Poum,MK,41.2813,20.7117,0,39,57.85,3.65
431,Caravelas,BR,-17.7297,-39.2661,87,74,79.41,14.07
432,Angoram,PG,-4.0563,144.0729,100,99,73.53,1.32
433,Tarabuco,BO,-19.1825,-64.9151,47,39,69.49,12.93
434,Boundiali,CI,9.525,-6.481,100,74,79.27,3.91
435,Grand Gaube,MU,-20.0064,57.6608,26,82,75.83,13.8
436,Taywarah,AF,33.35,64.4167,0,43,31.06,4.23
437,Puerto Rondon,CO,6.2805,-71.1,60,63,86.5,5.03
438,Wanning,AT,48.6402,13.529,80,85,54.68,1.66
439,Salinopolis,BR,-0.6137,-47.3562,78,77,81.88,13.22
440,La Brea,TT,10.2371,-61.6159,81,74,87.82,14.45
441,Kamaishi,JP,39.2793,141.864,98,80,55.24,9.01
442,Herat,AF,34.3508,62.2164,0,25,54.91,11.54
443,Kargasok,RU,59.0598,80.8709,99,87,28.74,12.21
444,Oranjemund,ZA,-28.552,16.4284,99,54,62.24,3.02
445,San Jeronimo,PE,-13.6517,-73.366,65,39,65.61,8.14
446,Nokaneng,BW,-19.6622,22.1901,56,22,88.0,7.23
447,Shakhtinsk,KZ,49.7057,72.5948,88,52,42.08,14.88
448,Port Lincoln,AU,-34.7212,135.8592,17,71,52.99,14.85
449,Aktau,KZ,43.6521,51.158,100,60,61.43,6.44
450,Hobyo,SO,5.3505,48.5268,26,75,81.21,10.27
451,Bagdarin,RU,54.4434,113.5905,50,90,8.74,0.31
452,San Angelo,US,31.4648,-100.4399,100,80,55.71,21.83
453,Coihaique,CL,-45.5753,-72.0662,100,71,49.89,10.0
454,Yatou,CM,3.6277,9.8147,58,88,75.88,3.71
455,Puri,ID,-7.5373,112.4453,28,82,72.99,3.06
456,Altus,US,34.6381,-99.334,100,69,46.33,23.82
457,Neuquen,AR,-38.9517,-68.0591,100,13,79.65,16.15
458,Daitari,IN,21.1109,85.8251,100,97,71.2,6.87
459,Grand-Santi,GF,4.2734,-54.3811,0,26,97.32,4.14
460,Ust-Kuyga,RU,70.0018,135.5498,0,91,-4.31,6.78
461,Mairana,BO,-18.1194,-63.9566,57,42,78.96,7.47
462,Port Shepstone,ZA,-30.7414,30.455,91,73,63.0,10.58
463,Tulare,US,36.2077,-119.3474,0,28,78.55,4.52
464,Pacific Grove,US,36.6174,-121.9156,29,57,66.83,3.98
465,Goderich,CA,43.7407,-81.7078,52,67,49.98,12.73
466,Mollendo,PE,-17.0293,-72.0156,33,69,64.17,9.42
467,Rapid Valley,US,44.0625,-103.1463,0,37,43.68,8.75
468,Rome,IT,41.8933,12.4829,99,56,69.78,3.2
469,Lompoc,US,34.6392,-120.458,0,36,75.47,3.42
470,Shimoda,JP,34.701,138.9287,100,80,70.36,36.82
471,Sobolevo,RU,54.4299,31.8996,20,89,44.17,2.68
472,Werda,BW,-25.2702,23.277,0,11,79.81,8.1
473,Atbasar,KZ,51.811,68.3626,93,89,44.02,11.25
474,Awjilah,LY,29.1403,21.2975,0,51,70.57,7.31
475,Alta Floresta,BR,-9.8716,-56.084,82,39,96.78,2.77
476,Salalah,OM,17.0149,54.0957,19,65,81.14,0.83
477,Ancud,CL,-41.8682,-73.8288,100,83,51.6,9.33
478,Traverse City,US,44.7606,-85.6166,81,69,44.96,17.09
479,Am Timan,TD,11.0396,20.2826,18,75,78.62,1.77
480,Berdigestyakh,RU,62.0983,126.6998,100,92,18.12,2.48
481,Ouargaye,BF,11.5033,0.0576,75,39,88.54,3.04
482,Chimore,BO,-16.9834,-65.1334,64,26,100.26,3.58
483,Voh,NC,-20.95,164.6872,44,81,67.75,8.7
484,Itaituba,BR,-4.2626,-55.9879,42,38,96.42,3.98
485,Kichera,RU,55.9291,110.0967,100,95,15.39,3.13
486,Dalnerechensk,RU,45.9339,133.7225,45,72,43.43,5.06
487,Mangan,IN,27.4974,88.5362,85,85,44.91,2.71
488,Atambua,ID,-9.1066,124.892,0,76,70.16,3.58
489,Thunder Bay,CA,48.4064,-89.2598,94,63,37.58,9.82
490,Quesnel,CA,52.9768,-122.4949,100,92,40.64,9.24
491,Sur,OM,22.5702,59.5299,0,32,79.09,2.01
492,Bacolod,PH,10.6763,122.9514,1,85,74.44,3.53
493,Porto Walter,BR,-8.2688,-72.7445,37,39,93.6,3.94
494,Iracoubo,GF,5.4794,-53.2058,1,76,82.78,12.24
495,Suihua,CN,46.642,126.987,100,63,51.78,13.78
496,Taksimo,RU,56.3555,114.838,57,94,8.06,1.19
497,Nogliki,RU,51.7954,143.1365,83,88,33.33,6.29
498,Surgut,RU,61.254,73.3964,99,83,28.83,10.92
499,Cidreira,BR,-30.1658,-50.2184,0,76,70.14,19.15
500,Bujumbura,BI,-3.3639,29.3675,68,91,60.69,4.12
501,Amarante do Maranhao,BR,-5.5667,-46.7423,57,31,96.51,5.35
502,Gushikawa,JP,26.3544,127.8686,1,80,74.75,10.83
503,Ginda,IN,30.6945,78.4932,0,81,64.65,3.78
504,Kieta,PG,-6.2167,155.6333,98,79,79.27,4.5
505,Sokoto,NG,13.0611,5.2373,100,23,88.32,6.29
506,Nelson Bay,AU,-32.7219,152.1441,0,54,63.45,2.71
507,Mugan,CN,35.9404,101.3842,100,67,32.85,6.98
508,Sayat,TM,38.7828,63.883,91,23,60.58,10.67
509,Thanh Hoa,VN,10.2066,106.3327,2,88,78.21,5.28
510,Tateyama,JP,36.6634,137.3139,100,92,56.75,6.51
511,Tessalit,ML,20.2009,1.014,2,14,91.98,5.99
512,Timiryazevskiy,RU,47.0528,39.6093,50,53,61.5,1.25
513,Egvekinot,RU,66.3167,-179.1667,86,78,10.72,6.22
514,Champerico,MX,16.3758,-93.5989,87,92,74.68,2.55
515,Thinadhoo,MV,0.5333,72.9333,100,84,78.03,9.42
516,Hirado,JP,33.3201,129.493,44,82,68.97,23.11
517,Vestmannaeyjar,IS,63.4427,-20.2734,72,61,34.65,34.23
518,Dryden,CA,49.7857,-92.8359,0,59,33.87,7.0
519,Padang,ID,-0.9248,100.3633,20,92,65.34,2.04
520,Requena,ES,39.4885,-1.1024,7,58,60.08,8.77
521,Namibe,AO,-15.1902,12.1531,0,78,76.8,13.15
522,Xingcheng,CN,40.6203,120.7112,83,45,41.5,11.41
523,Opuwo,NA,-18.0559,13.8371,3,12,80.74,9.86
524,Price,US,39.5994,-110.8108,0,18,40.39,5.37
525,Nakhon Phanom,LA,17.3957,104.7879,29,89,70.09,3.56
526,Chapais,CA,49.7839,-74.8569,100,86,39.87,11.92
527,Barreirinha,BR,-2.7989,-57.0679,51,38,97.47,3.0
528,Kawalu,ID,-7.3817,108.2082,34,89,66.65,2.68
529,Concepcion del Oro,MX,24.6333,-101.4167,14,50,66.04,1.66
530,Gat,SN,14.6934,-16.5351,98,46,91.56,11.86
531,Richards Bay,ZA,-28.7745,32.0555,50,75,69.69,16.91
532,Abha,SA,18.2164,42.5044,4,74,74.77,1.25
533,Van,TR,38.5084,43.3743,62,66,49.57,1.9
534,Cabanas,BR,-8.4103,-36.339,0,25,89.01,16.64
535,Bridlington,GB,54.0831,-0.192,100,87,52.32,16.55
536,Baykit,RU,61.6784,96.3854,98,95,25.18,3.65
537,Imeni Babushkina,RU,59.7567,43.1336,73,95,36.39,3.53
538,Muyezerskiy,RU,63.9333,31.65,100,90,42.28,11.03
539,Lasa,CY,34.9245,32.5278,85,62,66.85,3.09
540,Lamu,CN,35.7664,102.3749,100,74,29.66,0.76
541,Kalmunai,LK,7.4167,81.8167,100,77,80.49,13.38
542,Santa Maria,BR,-16.0172,-48.0132,42,48,82.63,4.16
543,Hovd,NO,63.8339,10.6972,100,80,48.61,5.08
544,Bom Jardim,BR,-7.7962,-35.5872,0,52,85.3,15.32
545,Los Llanos de Aridane,ES,28.6585,-17.9183,87,62,69.96,3.98
546,Najran,SA,17.544,44.2247,0,18,74.32,6.55
547,Barguzin,RU,53.6176,109.6327,85,83,18.46,2.98
